6387121938142027A,NOM-044-SEMARNAT-2017,aprobado,12-ENE-2019
3548482183200859A,NOM-044-SEMARNAT-2017,en proceso,30-FEB-2020
3576555456023648H,NOM-044-SEMARNAT-2017,,
3575088583520071R,NOM-044-SEMARNAT-2017,aprobado,04-MAY-2017
3580809995940877Y,NOM-044-SEMARNAT-2017,aprobado,05-ABRIL-2020
5602217169982684F,NOM-044-SEMARNAT-2017,en proceso,20-JUN-2020
201979955979119UU,NOM-044-SEMARNAT-2017,,
3539251754586827O,NOM-044-SEMARNAT-2017,rechazado,03-SEP-2017
6771077586514830I,NOM-044-SEMARNAT-2017,aprobado,12-DIC-2019
337941581658589HP,NOM-044-SEMARNAT-2017,,
3546213593228012Q,NOM-044-SEMARNAT-2017,en proceso,26-MAR-2018
374622689254422SD,NOM-044-SEMARNAT-2017,rechazado,05-FEB-2019
30100696868258ERT,NOM-044-SEMARNAT-2017,,
366091432301064ET,NOM-044-SEMARNAT-2017,rechazado,11-SEP-2020
561067905837420R2,NOM-044-SEMARNAT-2017,aprobado,13-JUN-2019
5602237181793877W,NOM-044-SEMARNAT-2017,en proceso,07-ABR-2017
3587349672015902Q,NOM-044-SEMARNAT-2017,,
5002353818340325T,NOM-044-SEMARNAT-2017,,
5100145567426003R,NOM-044-SEMARNAT-2017,aprobado,15-JUL-2019
4175007860793914F,NOM-044-SEMARNAT-2017,rechazado,13-MAY-2017
51001718917A3962A,NOM-044-SEMARNAT-2017,en proceso,13-JUL-2017 
354Q823999083942B,NOM-044-SEMARNAT-2017,aprobado,15-JUL-2019
5893058630261499C,NOM-044-SEMARNAT-2017,rechazado,11-SEP-2019
357491503968307D1,NOM-044-SEMARNAT-2017,en proceso,11-MAY-2019
491727102028927WQ,NOM-044-SEMARNAT-2017,aprobado,11-FEB-2019
6022299253651946Q,NOM-044-SEMARNAT-2017,rechazado,11-JUL-2019
6767822586455240A,NOM-044-SEMARNAT-2017,en proceso,21-AGO-2019
Q560224768055310P,NOM-044-SEMARNAT-2017,en proceso,21-AGO-2019
0222347911464185L,NOM-044-SEMARNAT-2017,rechazado,21-ABR-2019
5038254747951340P,NOM-044-SEMARNAT-2017,en proceso,21-JUL-2018
6387121938142027A,NOM-044-ECOL-1993,aprobado,20-JUN-2020
3548482183200859A,NOM-044-ECOL-1993,rechazado,26-MAR-2018
3576555456023648H,NOM-044-ECOL-1993,en proceso,04-MAY-2017
3575088583520071R,NOM-044-ECOL-1993,aprobado,15-JUL-2019
3580809995940877Y,NOM-044-ECOL-1993,,
5602217169982684F,NOM-044-ECOL-1993,aprobado,15-JUL-2019
201979955979119UU,NOM-044-ECOL-1993,rechazado,13-MAY-2017
3539251754586827O,NOM-044-ECOL-1993,en proceso,20-JUN-2020
6771077586514830I,NOM-044-ECOL-1993,aprobado,13-MAY-2017
337941581658589HP,NOM-044-ECOL-1993,,
3546213593228012Q,NOM-044-ECOL-1993,,
374622689254422SD,NOM-044-ECOL-1993,aprobado,26-MAR-2018
30100696868258ERT,NOM-044-ECOL-1993,en proceso,20-JUN-2020
366091432301064ET,NOM-044-ECOL-1993,,
561067905837420R2,NOM-044-ECOL-1993,rechazado,13-MAY-2017
5602237181793877W,NOM-044-ECOL-1993,,
3587349672015902Q,NOM-044-ECOL-1993,,
5002353818340325T,NOM-044-ECOL-1993,aprobado,13-MAY-2017
5100145567426003R,NOM-044-ECOL-1993,rechazado,04-MAY-2017
4175007860793914F,NOM-044-ECOL-1993,aprobado,20-JUN-2020
6387121938142027A,39724-MOPT-MINAE-S,aprobado,13-MAY-2017
3548482183200859A,39724-MOPT-MINAE-S,,
3576555456023648H,39724-MOPT-MINAE-S,en proceso,13-MAY-2017
3575088583520071R,39724-MOPT-MINAE-S,aprobado,20-JUN-2020
3580809995940877Y,39724-MOPT-MINAE-S,rechazado,20-JUN-2020
5602217169982684F,39724-MOPT-MINAE-S,,
201979955979119UU,39724-MOPT-MINAE-S,aprobado,26-MAR-2018
3539251754586827O,39724-MOPT-MINAE-S,,
6771077586514830I,39724-MOPT-MINAE-S,en proceso,13-MAY-2017
337941581658589HP,39724-MOPT-MINAE-S,aprobado,
3546213593228012Q,39724-MOPT-MINAE-S,aprobado,20-JUN-2020
374622689254422SD,39724-MOPT-MINAE-S,,
30100696868258ERT,39724-MOPT-MINAE-S,en proceso,13-MAY-2017
366091432301064ET,39724-MOPT-MINAE-S,rechazado,26-MAR-2018
561067905837420R2,39724-MOPT-MINAE-S,aprobado,26-MAR-2018
5602237181793877W,39724-MOPT-MINAE-S,en proceso,20-JUN-2020
3587349672015902Q,39724-MOPT-MINAE-S,,
5002353818340325T,39724-MOPT-MINAE-S,,
5100145567426003R,39724-MOPT-MINAE-S,rechazado,13-MAY-2017
4175007860793914F,39724-MOPT-MINAE-S,aprobado,20-JUN-2020
